source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
WAL,14,0.9397590361445783,0.22034180514818122,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,10,0.8769716088328076,0.4983468998223543,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,11,0.7905405405405406,0.8066661170634785,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,12,0.8322147651006712,0.6578077742290732,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,13,0.9622093023255814,0.17045033945363353,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
RUN,14,0.7331189710610932,0.8806190334726125,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,10,0.9161764705882353,0.29107999221684044,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,11,0.8502340093603744,0.5610214787120423,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,12,0.9397590361445783,0.2592506861408202,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,13,0.8840304182509505,0.3459423756588983,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLD,14,0.8990683229813664,0.3844350552753678,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,10,0.9119496855345912,0.25892543414083774,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,11,0.9499192245557351,0.15712344781277351,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,12,0.9292763157894737,0.2747370564780723,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,13,0.488,0.6452440877841923,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
CLU,14,0.9292604501607717,0.19566638093947403,32,5e-05,"[16, 32, 64]","[64, 32]",0.25
WAL,10,0.9428104575163399,0.21250656078448174,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
WAL,11,0.9414802065404475,0.25787797155344616,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
WAL,12,0.9566724436741768,0.1749468883352099,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
WAL,13,0.9467084639498433,0.3607430995941371,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
WAL,14,0.9449225473321858,0.17401215342588808,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
RUN,10,0.8596214511041009,0.5283562030177563,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
RUN,11,0.777027027027027,0.9350347992179817,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
RUN,12,0.8590604026845637,0.5953971219102019,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
RUN,13,0.9622093023255814,0.12211386994882063,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
RUN,14,0.6559485530546624,1.6894379186211155,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLD,10,0.925,0.3107070766043101,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLD,11,0.9329173166926678,0.27737614107316705,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLD,12,0.927710843373494,0.2469216223303842,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLD,13,0.9277566539923955,0.23981593226819634,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLD,14,0.8586956521739131,0.6942782623186542,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLU,10,0.9261006289308176,0.26260589007724777,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLU,11,0.9579967689822294,0.2923667749873857,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLU,12,0.9210526315789473,0.34201553634146586,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLU,13,0.956,0.22327791339955638,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
CLU,14,0.9292604501607717,0.2504760328361044,32,5e-05,"[16, 32, 64]","[128, 64]",0.25
