source,domain,accuracy,loss,batch_size,learning_rate,conv_channels,hidden_sizes,dropout_prob
CLU,13,0.994,0.017545117261306586,32,5e-05,"[32, 64, 128, 256]",[100],0.25
CLU,14,0.9356913183279743,0.3802639174017486,32,5e-05,"[32, 64, 128, 256]",[100],0.25
WAL,10,0.9509803921568627,0.1798638604595908,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
WAL,11,0.9621342512908778,0.17388123524688126,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
WAL,12,0.9601386481802426,0.18186642140158496,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
WAL,13,0.9655172413793104,0.15292202153650578,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
WAL,14,0.9535283993115319,0.18127706232878968,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
RUN,10,0.8391167192429022,0.7187842729705153,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
RUN,11,0.75,1.3171850020263791,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
RUN,12,0.8204697986577181,0.9704385682968055,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
RUN,13,0.9302325581395349,0.3883604070341045,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
RUN,14,0.7459807073954984,1.3254800870083272,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLD,10,0.9352941176470588,0.292292605417639,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLD,11,0.9001560062402496,0.49390722863496367,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLD,12,0.9231927710843374,0.37727789860036864,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLD,13,0.9790874524714829,0.08042456916839857,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLD,14,0.8136645962732919,0.9986954444994764,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLU,10,0.8883647798742138,0.35869105090441733,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLU,11,0.9499192245557351,0.4786536978694585,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLU,12,0.8634868421052632,0.6544025128702599,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLU,13,0.97,0.09185860856450745,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
CLU,14,0.9131832797427653,0.4116440125210829,32,5e-05,"[16, 32, 64, 128, 256]",[100],0.25
